Date,Stock_name,Transaction_price,Event,Total_unit,Net_worth
2018-10-10,SAIL.BO,21151.339517211916,Sell,6328.0,401890.5344934464
2018-10-11,YESBANK.NS,0,Buy,1810.0,401890.5344934464
2018-10-11,YESBANK.NS,21738.099723815918,Sell,1810.0,413094.42924594885
2018-10-24,BHARTIARTL.NS,0,Buy,1551.0,413094.42924594885
2018-10-24,BHARTIARTL.NS,22490.015927124026,Sell,1551.0,427417.28093357093
2018-10-29,SBIN.NS,0,Buy,1709.0,427417.28093357093
2018-10-29,SBIN.NS,22892.054478454593,Sell,1709.0,435116.31602420815
2018-11-01,YESBANK.NS,0,Buy,2266.0,435116.31602420815
2018-11-01,YESBANK.NS,23118.865345764163,Sell,2266.0,439302.7575937272
2018-11-09,YESBANK.NS,0,Buy,2052.0,439302.7575937272
2018-11-09,YESBANK.NS,23382.5393737793,Sell,2052.0,444443.0056955338
2018-11-16,BHARTIARTL.NS,0,Buy,1598.0,444443.0056955338
2018-11-16,BHARTIARTL.NS,24411.356793212894,Sell,1598.0,463829.0309213639
2018-12-11,YESBANK.NS,0,Buy,2819.0,463829.0309213639
2018-12-11,YESBANK.NS,25067.95836029053,Sell,2819.0,476394.73976688395
2019-01-24,YESBANK.NS,0,Buy,2393.0,476394.73976688395
2019-01-24,YESBANK.NS,25772.609269714358,Sell,2393.0,489867.31589145673
2019-02-14,YESBANK.NS,0,Buy,2628.0,489867.31589145673
2019-02-14,YESBANK.NS,29072.25,Sell,2628.0,552512.2498514177
2019-02-18,YESBANK.NS,0,Buy,2748.0,552512.2498514177
2019-02-18,YESBANK.NS,29341.770419311524,Sell,2748.0,557657.8878183367
2019-03-01,SAIL.BO,0,Buy,11380.0,557657.8878183367
2019-03-01,SAIL.BO,29815.600868225098,Sell,11380.0,566534.3043146136
2019-03-11,BHARTIARTL.NS,0,Buy,1996.0,566534.3043146136
2019-03-11,BHARTIARTL.NS,30587.496966552735,Sell,1996.0,581305.7367914203
2019-04-01,TATAMOTORS.NS,0,Buy,3296.0,581305.7367914203
2019-04-01,TATAMOTORS.NS,30875.281005859375,Sell,3296.0,586686.4557855609
2019-04-02,TATAMOTORS.NS,0,Buy,3119.0,586686.4557855609
2019-04-02,TATAMOTORS.NS,31650.05202407837,Sell,3119.0,601509.4847246173
2019-04-15,TATAMOTORS.NS,0,Buy,2770.0,601509.4847246173
2019-04-15,TATAMOTORS.NS,32097.375,Sell,2770.0,609854.1266313556
2019-05-02,YESBANK.NS,0,Buy,3764.0,609854.1266313556
2019-05-02,YESBANK.NS,32699.75,Sell,3764.0,621381.3766313556
2019-05-09,YESBANK.NS,0,Buy,3932.0,621381.3766313556
2019-05-09,YESBANK.NS,33480.980599975584,Sell,3932.0,636264.0080308918
2019-05-14,BHARTIARTL.NS,0,Buy,2013.0,636264.0080308918
2019-05-14,BHARTIARTL.NS,33878.79061431885,Sell,2013.0,643853.0297029499
2019-05-24,JSWENERGY.BO,0,Buy,9667.0,643853.0297029499
2019-05-24,JSWENERGY.BO,34704.53147506714,Sell,9667.0,659416.9424798969
2019-06-20,YESBANK.NS,0,Buy,6464.0,659416.9424798969
2019-06-20,YESBANK.NS,37022.56098632813,Sell,6464.0,703517.6012201313
2019-07-08,YESBANK.NS,0,Buy,8086.0,703517.6012201313
2019-07-08,YESBANK.NS,37660.545616912845,Sell,8086.0,715585.9679414752
2019-07-16,YESBANK.NS,0,Buy,7612.0,715585.9679414752
2019-07-16,YESBANK.NS,39525.309419250494,Sell,7612.0,751038.8469072345
2019-07-22,YESBANK.NS,0,Buy,9016.0,751038.8469072345
2019-07-22,YESBANK.NS,41090.420687866215,Sell,9016.0,780724.0124620441
2019-07-26,YESBANK.NS,0,Buy,8796.0,780724.0124620441
2019-07-26,YESBANK.NS,42242.79134216309,Sell,8796.0,802692.0479631427
2019-07-31,YESBANK.NS,0,Buy,9333.0,802692.0479631427
2019-07-31,YESBANK.NS,42558.47857589722,Sell,9333.0,808665.1409051899
2019-08-09,LAURUSLABS.NS,0,Buy,12631.0,808665.1409051899
2019-08-09,LAURUSLABS.NS,43198.02096366882,Sell,12631.0,820790.9616163258
2019-08-27,TATAMOTORS.NS,0,Buy,7282.0,820790.9616163258
2019-08-27,TATAMOTORS.NS,43819.43444442749,Sell,7282.0,832678.8382833485
2019-09-04,SAIL.BO,0,Buy,27345.0,832678.8382833485
2019-09-04,SAIL.BO,44093.8125,Sell,27345.0,837806.0049207691
2019-09-05,TATAMOTORS.NS,0,Buy,7633.0,837806.0049207691
2019-09-05,TATAMOTORS.NS,45053.78366470337,Sell,7633.0,856106.1445501331
2019-09-11,YESBANK.NS,0,Buy,12971.0,856106.1445501331
2019-09-11,YESBANK.NS,46436.179010391235,Sell,12971.0,882307.5457475666
2019-09-20,SBIN.NS,0,Buy,3214.0,882307.5457475666
2019-09-20,SBIN.NS,48483.19196166992,Sell,3214.0,921245.1930192951
2019-10-03,YESBANK.NS,0,Buy,26171.0,921245.1930192951
2019-10-03,YESBANK.NS,55613.375,Sell,26171.0,1056680.0980524067
2019-10-17,YESBANK.NS,0,Buy,25219.0,1056680.0980524067
2019-10-17,YESBANK.NS,59769.03192405701,Sell,25219.0,1135615.5661283496
2019-10-18,YESBANK.NS,0,Buy,24369.0,1135615.5661283496
2019-10-18,YESBANK.NS,62628.33185920716,Sell,24369.0,1189958.5086374285
2019-10-25,YESBANK.NS,0,Buy,24459.0,1189958.5086374285
2019-10-25,YESBANK.NS,63776.84436607361,Sell,24459.0,1211788.164271355
2019-10-27,TATAMOTORS.NS,0,Buy,8686.0,1211788.164271355
2019-10-27,TATAMOTORS.NS,64146.10867462159,Sell,8686.0,1218867.2290891649
2019-10-29,TATAMOTORS.NS,0,Buy,8024.0,1218867.2290891649
2019-10-29,TATAMOTORS.NS,69186.93877563477,Sell,8024.0,1314573.5148008347
2019-10-31,YESBANK.NS,0,Buy,23432.0,1314573.5148008347
2019-10-31,YESBANK.NS,82480.64178771974,Sell,23432.0,1567170.544521904
2019-11-01,SAIL.BO,0,Buy,42702.0,1567170.544521904
2019-11-01,SAIL.BO,83268.90000000001,Sell,42702.0,1582116.2119428637
2019-11-04,YESBANK.NS,0,Buy,26390.0,1582116.2119428637
2019-11-04,YESBANK.NS,87284.92701339722,Sell,26390.0,1658449.3050634386
2019-11-15,BHARTIARTL.NS,0,Buy,4634.0,1658449.3050634386
2019-11-15,BHARTIARTL.NS,91069.68217163086,Sell,4634.0,1730496.3380407335
2019-11-20,YESBANK.NS,0,Buy,27866.0,1730496.3380407335
2019-11-20,YESBANK.NS,91748.80287399293,Sell,27866.0,1743245.0351667407
2019-11-22,SAIL.BO,0,Buy,48155.0,1743245.0351667407
2019-11-22,SAIL.BO,93059.54117393494,Sell,48155.0,1768165.280732155
2019-11-25,BHARTIARTL.NS,0,Buy,4196.0,1768165.280732155
2019-11-25,BHARTIARTL.NS,94703.71871948242,Sell,4196.0,1799551.3107919695
2019-12-04,YESBANK.NS,0,Buy,30735.0,1799551.3107919695
2019-12-04,YESBANK.NS,96815.25,Sell,30735.0,1839506.8342409136
2019-12-12,TATAMOTORS.NS,0,Buy,11254.0,1839506.8342409136
2019-12-12,TATAMOTORS.NS,97544.04843444825,Sell,11254.0,1853377.4888399127
2019-12-19,YESBANK.NS,0,Buy,40290.0,1853377.4888399127
2019-12-19,YESBANK.NS,100523.55307388306,Sell,40290.0,1909984.9972436908
2020-01-02,SAIL.BO,0,Buy,43408.0,1909984.9972436908
2020-01-02,SAIL.BO,102551.40000000001,Sell,43408.0,1948509.5972436909
2020-01-23,YESBANK.NS,0,Buy,50544.0,1948509.5972436909
2020-01-23,YESBANK.NS,103488.84192810059,Sell,50544.0,1966326.4324396136
2020-02-05,TATAMOTORS.NS,0,Buy,11746.0,1966326.4324396136
2020-02-05,TATAMOTORS.NS,107916.375,Sell,11746.0,2050457.2291315082
2020-03-05,YESBANK.NS,0,Buy,69743.0,2050457.2291315082
2020-03-05,YESBANK.NS,128327.1173395157,Sell,69743.0,2438228.2851871494
2020-03-06,SAIL.BO,0,Buy,78399.0,2438228.2851871494
2020-03-06,SAIL.BO,129162.35549068451,Sell,78399.0,2454104.10960331
2020-03-09,YESBANK.NS,0,Buy,144359.0,2454104.10960331
2020-03-09,YESBANK.NS,153381.4375,Sell,144359.0,2914248.42210331
2020-03-11,YESBANK.NS,0,Buy,124807.0,2914248.42210331
2020-03-11,YESBANK.NS,179722.0752389908,Sell,124807.0,3414724.354034043
2020-03-13,SAIL.BO,0,Buy,143777.0,3414724.354034043
2020-03-13,SAIL.BO,211711.6379846573,Sell,143777.0,4022541.7257425315
2020-03-16,YESBANK.NS,0,Buy,150656.0,4022541.7257425315
2020-03-16,YESBANK.NS,279466.8685058594,Sell,150656.0,5309896.912412453
2020-03-17,YESBANK.NS,0,Buy,130144.0,5309896.912412453
2020-03-17,YESBANK.NS,381647.28992919927,Sell,130144.0,7251320.320359231
2020-03-19,BHARTIARTL.NS,0,Buy,17412.0,7251320.320359231
2020-03-19,BHARTIARTL.NS,387199.35000000003,Sell,17412.0,7356880.357810403
2020-03-20,DRREDDY.NS,0,Buy,2785.0,7356880.357810403
2020-03-20,DRREDDY.NS,403442.0625,Sell,2785.0,7667094.545310403
2020-03-23,GSPL.NS,0,Buy,50507.0,7667094.545310403
2020-03-23,GSPL.NS,418324.21208648686,Sell,50507.0,7948291.820818521
2020-03-25,RELIANCE.NS,0,Buy,8324.0,7948291.820818521
2020-03-25,RELIANCE.NS,446202.8784667969,Sell,8324.0,8478808.019744303
2020-03-26,BHARTIARTL.NS,0,Buy,19879.0,8478808.019744303
2020-03-26,BHARTIARTL.NS,467852.2771331787,Sell,19879.0,8889607.7852747
2020-03-31,SAIL.BO,0,Buy,423314.0,8889607.7852747
2020-03-31,SAIL.BO,487869.3688518524,Sell,423314.0,9269531.793459896
2020-04-01,YESBANK.NS,0,Buy,421342.0,9269531.793459896
2020-04-01,YESBANK.NS,504557.0610729218,Sell,421342.0,9586591.95384541
2020-04-07,DRREDDY.NS,0,Buy,2949.0,9586591.95384541
2020-04-07,DRREDDY.NS,528342.832800293,Sell,2949.0,10040855.777050976
2020-04-09,TATAMOTORS.NS,0,Buy,144265.0,10040855.777050976
2020-04-09,TATAMOTORS.NS,538108.438993454,Sell,144265.0,10224072.338057522
2020-04-15,GSPL.NS,0,Buy,54703.0,10224072.338057522
2020-04-15,GSPL.NS,546619.7441940308,Sell,54703.0,10385857.111624721
2020-04-16,NTPC.NS,0,Buy,119035.0,10385857.111624721
2020-04-16,NTPC.NS,566011.4159183502,Sell,119035.0,10754270.264073376
